一	横
伲	撇,竖,横折,横,撇,撇,竖弯钩
伴	撇,竖,点,撇,横,横,竖
伶	撇,竖,撇,捺,点,横撇|横钩,点
伸	撇,竖,竖,横折,横,横,竖
伺	撇,竖,横折钩,横,竖,横折,横
似	撇,竖,竖提,点,撇,点
伽	撇,竖,横折钩,撇,竖,横折,横
伾	
佁	
佃	撇,竖,竖,横折,横,竖,横
但	撇,竖,竖,横折,横,横,横
位	撇,竖,点,横,点,撇,横
低	撇,竖,撇,竖提,横,斜钩|卧钩,点
住	撇,竖,点,横,横,竖,横
佐	撇,竖,横,撇,横,竖,横
佑	撇,竖,横,撇,竖,横折,横
体	撇,竖,横,竖,撇,捺,横
何	撇,竖,横,竖,横折,横,竖钩
佖	
佗	撇,竖,点,点2,横撇|横钩,撇,竖弯钩
佘	撇,捺,横,横,竖钩,撇,点
余	撇,捺,横,横,竖钩,撇,点
佚	撇,竖,撇,横,横,撇,捺
佛	撇,竖,横折,横,竖折折钩,撇,竖
作	撇,竖,撇,横,竖,横,横
佝	撇,竖,撇,横折钩,竖,横折,横
佞	撇,竖,横,横,撇点,撇,横
佟	撇,竖,撇,横撇|横钩,捺,点,点
你	撇,竖,撇,横撇|横钩,竖钩,撇,点
佣	撇,竖,撇,横折钩,横,横,竖
佤	撇,竖,横,竖提,横斜钩,点
佥	撇,捺,横,点,点,撇,横
佩	撇,竖,撇,横斜钩,横,竖,横折钩,竖
佬	撇,竖,横,竖,横,撇,撇,竖弯钩
佯	撇,竖,点,撇,横,横,横,竖
佰	撇,竖,横,撇,竖,横折,横,横
佳	撇,竖,横,竖,横,横,竖,横
佴	撇,竖,横,竖,竖,横,横,横
佶	撇,竖,横,竖,横,竖,横折,横
佸	
佺	撇,竖,撇,捺,横,横,竖,横
佻	撇,竖,撇,点,提,竖弯钩,撇,点
佼	撇,竖,点,横,撇,点,撇,捺
佽	
佾	撇,竖,撇,捺,竖,横折钩,横,横
使	撇,竖,横,竖,横折,横,撇,捺
侁	
侂	
侃	撇,竖,竖,横折,横,撇,竖,竖弯钩
侄	撇,竖,横,撇折,点,横,竖,横
侈	撇,竖,撇,横撇|横钩,点,撇,横撇|横钩,点
侉	撇,竖,横,撇,捺,横,横,竖折折钩
例	撇,竖,横,撇,横撇|横钩,点,竖,竖钩
侍	撇,竖,横,竖,横,横,竖钩,点
侏	撇,竖,撇,横,横,竖,撇,捺
侑	撇,竖,横,撇,竖,横折钩,横,横
侔	撇,竖,撇折,点,撇,横,横,竖
侗	撇,竖,竖,横折钩,横,竖,横折,横
侘	
供	撇,竖,横,竖,竖,横,撇,点
依	撇,竖,点,横,撇,竖提,撇,捺
侠	撇,竖,横,点,撇,横,撇,捺
侣	撇,竖,竖,横折,横,竖,横折,横
侥	撇,竖,横,斜钩|卧钩,撇,横,撇,竖弯钩
侦	撇,竖,竖,横,竖,横折,撇,点
侧	撇,竖,竖,横折,撇,点,竖,竖钩
侨	撇,竖,撇,横,撇,捺,撇,竖
侩	撇,竖,撇,捺,横,横,撇折,点
侪	撇,竖,点,横,撇,捺,撇,竖
侬	撇,竖,点2,横撇|横钩,撇,竖提,撇,捺
侮	撇,竖,撇,横,竖弯,横折钩,点,横,点
侯	撇,竖,横折,横,撇,横,横,撇,捺
侴	
侵	撇,竖,横折,横,横,点2,横撇|横钩,横撇|横钩,捺
侹	
便	撇,竖,横,竖,横折,横,横,撇,捺
促	撇,竖,竖,横折,横,竖,横,撇,捺
俄	撇,竖,撇,横,竖钩,提,斜钩|卧钩,撇,点
俅	撇,竖,横,竖钩,点,提,撇,捺,点
俊	撇,竖,撇折,点,撇,点,撇,横撇|横钩,捺
俍	
俎	撇,点,撇,点,竖,横折,横,横,横
俏	撇,竖,竖,点,撇,竖,横折钩,横,横
俐	撇,竖,撇,横,竖,撇,点,竖,竖钩
俑	撇,竖,横撇|横钩,点,竖,横折钩,横,横,竖
俗	撇,竖,撇,点,撇,捺,竖,横折,横
俘	撇,竖,撇,点,点,撇,横撇|横钩,竖钩,横
俙	
俚	撇,竖,竖,横折,横,横,竖,横,横
俜	撇,竖,竖,横折,横,竖,横,横,竖折折钩
保	撇,竖,竖,横折,横,横,竖,撇,捺
俞	撇,捺,横,竖,横折钩,横,横,竖,竖钩
俟	撇,竖,撇折,点,撇,横,横,撇,捺
信	撇,竖,点,横,横,横,竖,横折,横
俣	撇,竖,竖,横折,横,横,横,撇,捺
俦	撇,竖,横,横,横,撇,横,竖钩,点
俨	撇,竖,横,竖,竖,点,撇,横,撇
俩	撇,竖,横,竖,横折钩,撇,点,撇,点
俪	撇,竖,横,竖,横折钩,点,竖,横折钩,点
俫	
俭	撇,竖,撇,捺,横,点,点,撇,横
修	撇,竖,竖,撇,横撇|横钩,捺,撇,撇,撇
俯	撇,竖,点,横,撇,撇,竖,横,竖钩,点
俱	撇,竖,竖,横折,横,横,横,横,撇,点
俳	撇,竖,竖,横,横,横,竖,横,横,横
俵	
俶	撇,竖,竖,横,横,竖钩,撇,点,横撇|横钩,捺
俸	撇,竖,横,横,横,撇,捺,横,横,竖
俺	撇,竖,横,撇,捺,竖,横折,横,横,竖弯钩
俾	撇,竖,撇,竖,横折,横,横,撇,横,竖
倌	撇,竖,点,点2,横撇|横钩,竖,横折,横,横折,横
倍	撇,竖,点,横,点,撇,横,竖,横折,横
倏	撇,竖,竖,撇,横撇|横钩,捺,横,撇,点,点
倒	撇,竖,横,撇折,点,横,竖,提,竖,竖钩
倓	撇,竖,点2,撇,撇,点,点2,撇,撇,捺
倔	撇,竖,横折,横,撇,竖弯,竖,竖,竖弯,竖
倕	
倘	撇,竖,竖,点,撇,竖,横折钩,竖,横折,横
候	撇,竖,竖,横折,横,撇,横,横,撇,捺
倚	撇,竖,横,撇,点,横,竖,横折,横,竖钩
倜	撇,竖,撇,横折钩,横,竖,横,竖,横折,横
倞	
借	撇,竖,横,竖,竖,横,竖,横折,横,横
倡	撇,竖,竖,横折,横,横,竖,横折,横,横
倥	撇,竖,点,点2,横撇|横钩,撇,点,横,竖,横
倦	撇,竖,点,撇,横,横,撇,捺,横折钩,竖弯钩
倧	
倨	撇,竖,横折,横,撇,横,竖,竖,横折,横
倩	撇,竖,横,横,竖,横,竖,横折钩,横,横
倪	撇,竖,撇,竖,横,横折,横,横,撇,竖弯钩
倬	撇,竖,竖,横,竖,横折,横,横,横,竖
倭	撇,竖,撇,横,竖,撇,捺,撇点,撇,横
倮	撇,竖,竖,横折,横,横,横,竖,撇,捺
倴	
债	撇,竖,横,横,竖,横,竖,横折,撇,点
倻	
值	撇,竖,横,竖,竖,横折,横,横,横,横
倾	撇,竖,横,竖提,横,撇,竖,横折,撇,点
偁	
偃	撇,竖,横,竖,横折,横,横,撇点,撇,横,竖弯
假	撇,竖,横折,横,竖,横,横,横折,横,横撇|横钩,捺
偈	撇,竖,竖,横折,横,横,撇,横折钩,撇,点,竖弯
偌	撇,竖,横,竖,竖,横,撇,竖,横折,横
偎	撇,竖,竖,横折,横,竖,横,横,竖提,撇,捺
偏	撇,竖,点,横折,横,撇,竖,横折钩,横,竖,竖
偓	
偕	撇,竖,横,竖提,撇,竖弯钩,撇,竖,横折,横,横
做	撇,竖,横,竖,竖,横折,横,撇,横,撇,捺
停	撇,竖,点,横,竖,横折,横,点2,横撇|横钩,横,竖钩
偡	
健	撇,竖,横折,横,横,横,横,竖,横折折撇,捺
偬	撇,竖,撇,横折钩,撇,撇,点,点2,斜钩|卧钩,点,点
偭	
偰	
偲	撇,竖,竖,横折,横,竖,横,点2,斜钩|卧钩,点,点
偶	撇,竖,竖,横折,横,横,竖,横折钩,竖,提,点
偷	撇,竖,撇,捺,横,竖,横折钩,横,横,竖,竖钩
偻	撇,竖,点,撇,横,竖,撇,捺,撇点,撇,横
偾	撇,竖,横,竖,横,竖,竖,竖,横折,撇,点
偿	撇,竖,竖,点,撇,点2,横撇|横钩,横,横,撇折,点
傀	撇,竖,撇,竖,横折,横,横,撇,竖弯钩,撇折,点
傃	
傅	撇,竖,横,竖,横折,横,横,竖,点,横,竖钩,点
傈	撇,竖,横,竖,横折,竖,竖,横,横,竖,撇,捺
傉	
傍	撇,竖,点,横,点,撇,点2,横撇|横钩,点,横,横折钩,撇
傒	
傕	
傣	撇,竖,横,横,横,撇,捺,竖钩,点,提,撇,点
傥	撇,竖,竖,点,撇,点2,横撇|横钩,竖,横折,横,撇,竖弯钩
傧	撇,竖,点,点2,横撇|横钩,撇,竖,横,竖,横,撇,点
储	撇,竖,点,横折提,横,竖,横,撇,竖,横折,横,横
傩	撇,竖,横撇|横钩,点,撇,竖,点,横,横,横,竖,横
催	撇,竖,竖,竖弯,竖,撇,竖,点,横,横,横,竖,横
傲	撇,竖,横,横,竖,横,横折钩,撇,撇,横,撇,捺
傺	撇,竖,撇,横撇|横钩,点,点,横撇|横钩,捺,横,横,竖钩,撇,点
傻	撇,竖,撇,竖,横折,撇,点,横,撇,点,撇,横撇|横钩,捺
僇	
僎	
像	撇,竖,撇,横撇|横钩,竖,横折,横,撇,弯钩,撇,撇,撇,捺
僔	
僖	撇,竖,横,竖,横,竖,横折,横,点,撇,横,竖,横折,横
僚	撇,竖,横,撇,捺,点,撇,竖,横折,横,横,竖钩,撇,点
僦	撇,竖,点,横,竖,横折,横,竖钩,撇,点,横,撇,竖弯钩,点
僧	撇,竖,点,撇,竖,横折,竖,点,撇,横,竖,横折,横,横
僬	撇,竖,撇,竖,点,横,横,横,竖,横,点2,点,点,点
僭	撇,竖,横,撇折,撇,竖提,横,撇折,撇,竖弯钩,竖,横折,横,横
僮	撇,竖,点,横,点,撇,横,竖,横折,横,横,竖,横,横
