一	横
最	竖,横折,横,横,横,竖,竖,横,横,提,横撇,捺
彭	横,竖,横,竖,横折,横,点,撇,提,撇,撇,撇
属	横折,横,撇,撇,竖,横折,横,竖,横折钩,竖,提,点
朝	横,竖,竖,横折,横,横,横,竖,撇,横折钩,横,横
觜	竖,横,竖,提,撇,竖弯钩,撇,横撇,撇,横折钩,横,横,竖
黑	竖,横折,点,撇,横,竖,横,横,点,点,点,点
壹	横,竖,横,点,横钩,横,竖,横折,横,点,撇,横
菐	竖,竖,点,撇,横,点,撇,横,横,横,撇,捺
禽	撇,捺,点,横,撇,点,竖折,竖,竖,横折钩,撇折,点
鲁	撇,横撇,竖,横折,横,竖,横,横,竖,横折,横,横
奥	撇,竖,横折,点,撇,横,竖,撇,点,横,撇,捺
禁	横,竖,撇,点,横,竖,撇,捺,横,横,竖钩,撇,点
㗊	竖,横折,横,竖,横折,横,竖,横折,横,竖,横折,横
喿	竖,横折,横,竖,横折,横,竖,横折,横,横,竖,撇,捺
意	点,横,点,撇,横,竖,横折,横,横,点,卧钩,点,点
筮	撇,横,点,撇,横,点,横,竖,撇,点,撇,点,横
豦	竖,横,横钩,撇,横,竖弯钩,横,撇,弯钩,撇,撇,撇,捺
葛	横,竖,竖,竖,横折,横,横,撇,横折钩,撇,点,竖折
塞	点,点,横钩,横,横,竖,竖,横,撇,捺,横,竖,横
蒿	横,竖,竖,点,横,竖,横折,横,竖,横折钩,竖,横折,横
豪	点,横,竖,横折,横,点,横钩,横,撇,弯钩,撇,撇,撇,捺
疐	横,竖,点,横钩,竖,横折,横,竖,横,横钩,竖,横,横,捺
察	点,点,横钩,撇,横撇,点,点,横撇,捺,横,横,竖钩,撇,点
页	横,撇,竖,横折,撇,点
否	横,撇,竖,点,竖,横折,横
霍	横,点,横钩,竖,点,点,点,点,撇,竖,点,横,横,横,竖,
爵	撇,点,点,撇,竖,横折,竖,竖,横,横折,横,横,竖提,点,横,竖钩,点
𠀎	横,横,竖,竖,横
囊	横,竖,横折,横,竖,点,横钩,竖,横折,横,竖,横折,横,横,横,竖,竖,横,撇,竖提,撇,捺
囗	竖,横折,横
女	撇点,撇,横
才	横,竖钩,撇
元	横,横,撇,竖弯钩
玉	横,横,竖,横,点
幸	横,竖,横,点,撇,横,横,竖
𬙙	竖,横折,竖,竖,横,点,横,横折钩,撇
亏	横,横,竖折折钩
己	横折,横,竖弯钩
𠃓	横折折折钩,撇,撇
匀	撇,横折钩,点,提
队	横撇弯钩,竖,撇,捺
皮	横钩,撇,竖,横撇,捺
甘	横,竖,竖,横,横
平	横,点,撇,横,竖
冋	竖,横折钩,竖,横折,横
斥	撇,撇,横,竖,点
卢	竖,横,横折,横,撇
代	撇,竖,横,斜钩,点
刑	横,横,撇,竖,竖,竖钩
聿	横折,横,横,横,横,竖
厽	撇折,点,撇折,点,撇折,点
后	撇,撇,横,竖,横折,横
𪢴	横,竖,提,横,竖,横
伐	撇,竖,横,斜钩,撇,点
当	竖,点,撇,横折,横,横
㐫	点,横,撇,点,竖折,竖
安	点,点,横钩,撇点,撇,横
完	点,点,横钩,横,横,撇,竖弯钩
旱	竖,横折,横,横,横,横,竖
序	点,横,撇,横撇,点,横钩,竖钩
角	撇,横撇,撇,横折钩,横,横,竖
成	横,撇,横折钩,斜钩,撇,点
延	撇,竖,横,竖折,横折折撇,捺
寽	撇,点,点,撇,横,竖钩,点
呈	竖,横折,横,横,横,竖,横
步	竖,横,竖,横,竖,撇,撇
时	竖,横折,横,横,横,竖钩,点
念	撇,捺,点,横撇,点,卧钩,点,点
或	横,竖,横折,横,提,斜钩,撇,点
阜	撇,竖,横折,横,横折,横,横,竖
隶	横折,横,横,竖钩,点,提,撇,捺
其	横,竖,竖,横,横,横,撇,点
帚	横折,横,横,点,横钩,竖,横折钩,竖
𫩠	竖,点,撇,点,横钩,竖,横折,横
廿	横,竖,竖,横
龶	横,横,竖,横
朋	撇,横折钩,横,横,撇,横折钩,横,横
固	竖,横折,横,竖,竖,横折,横,横
厓	横,撇,横,竖,横,横,竖,横
斩	横,撇折,竖,提,撇,撇,横,竖
陏	横撇弯钩,竖,横,撇,竖,横折钩,横,横
垔	横,竖,横折,竖,竖,横,横,竖,横
保	撇,竖,竖,横折,横,横,竖,撇,捺
耎	横,撇,竖,横折钩,竖,竖,横,撇,捺
封	横,竖,横,横,竖,提,横,竖钩,点
罡	竖,横折,竖,竖,横,横,竖,横,竖,横
春	横,横,横,撇,捺,竖,横折,横,横
段	撇,竖,横,横,提,撇,横折弯,横撇,捺
弯	点,横,竖,竖,撇,点,横折,横,竖折折钩
𦐇	竖,横折,横,横,横折钩,点,提,横折钩,点,提
唐	点,横,撇,横折,横,横,竖,竖,横折,横
𡨄	点,点,横钩,横,横,竖,竖,横,撇,捺
原	横,撇,撇,竖,横折,横,横,竖钩,撇,点
朗	点,横折,横,横,竖提,点,撇,横折钩,横,横
孰	点,横,竖,横折,横,横撇,竖钩,提,撇,横斜钩,点
犀	横折,横,撇,竖,点,提,撇,点,撇,横,横,竖
曼	竖,横折,横,横,竖,横折,竖,竖,横,横撇,捺
竟	点,横,点,撇,横,竖,横折,横,横,撇,竖弯钩
野	竖,横折,横,横,竖,横,提,横撇,点,横钩,竖钩
勘	横,竖,竖,横,横,横,撇,点,竖折,横折钩,撇
庸	点,横,撇,横折,横,横,竖,横折钩,横,横,竖
商	点,横,点,撇,竖,横折钩,撇,点,竖,横折,横
焉	横,竖,横,竖,横,横,竖折折钩,点,点,点,点
乾	横,竖,竖,横折,横,横,横,竖,撇,横,横折弯钩
啬	横,竖,点,撇,横,竖,横折,竖,横折,横,横
梁	点,点,提,横折钩,撇,点,点,横,竖,撇,捺
善	点,撇,横,横,横,竖,点,撇,横,竖,横折,横
番	撇,点,撇,横,竖,撇,捺,竖,横折,横,竖,横
敦	点,横,竖,横折,横,横撇,竖钩,提,撇,横,撇,捺
𣪠	横,竖,横折,横,横,横,竖,竖折,竖,撇,横折弯,横撇,捺
雍	点,横,撇折,撇折,撇,撇,竖,点,横,横,横,竖,横
㕡	竖,横,点,横钩,横,撇,点,撇,捺,竖,横折,横,横撇,捺
丬	点,提,竖
𠃜	横折,竖,横,撇
冗	点,横钩,撇,横斜钩
日	竖,横折,横,横
𦣻	横,撇,竖,横折,横,横,横
𠔿	竖,横折钩,撇,点
夒	横,撇,竖,横折,横,横,横,竖,横,竖,提,横折,横,竖弯钩,撇,点,撇,横撇,捺
寅	点,点,横钩,横,竖,横折,横,竖,横,撇,点
𠃍	横折
弓	横折,横,竖折折钩
电	竖,横折,横,横,竖弯钩
𡗗	横,横,横,撇,捺
㓞	横,横,横,竖,横折钩,撇
卉	横,竖,横,撇,竖
镸	横,竖,横,横,横,撇折,点
壯	竖折,竖,横,撇,横,竖,横
𡗞	撇折,撇折,点,横,撇,捺
酋	点,撇,横,竖,横折,撇,竖折,横,横
夰	横,撇,捺,撇,竖
皕	横,撇,竖,横折,横,横,横,撇,竖,横折,横,横
勺	撇,横折钩,点
亡	点,横,竖折
予	横撇,点,横钩,竖钩
犮	横,撇,横撇,捺,点
由	竖,横折,横,竖,横
𠂔	撇,竖折折钩,竖,撇
生	撇,横,横,竖,横
并	点,撇,横,横,撇,竖
𦍌	点,撇,横,横,竖,横
𦣞	横,竖,竖,横折,竖,竖折
危	撇,横撇,横,撇,横折钩,竖弯钩
戎	横,横,撇,斜钩,撇,点
沙	点,点,提,竖,撇,点,撇
尾	横折,横,撇,撇,横,横,竖弯钩
肙	竖,横折,横,竖,横折钩,横,横
闲	点,竖,横折钩,横,竖,撇,点
取	横,竖,竖,横,横,提,横撇,捺
疌	横,横折,横,横,竖,横,撇,捺
昏	撇,竖提,横,斜钩,竖,横折,横,横
昆	竖,横折,横,横,横,竖提,撇,竖弯钩
画	横,竖,横折,横,竖,横,竖折,竖
审	点,点,横钩,竖,横折,横,横,竖
敄	横撇,点,横钩,竖钩,撇,撇,横,撇,捺
胥	横钩,竖,横,撇,捺,竖,横折钩,横,横
美	点,撇,横,横,竖,横,横,撇,捺
某	横,竖,竖,横,横,横,竖,撇,捺
英	横,竖,竖,竖,横折,横,撇,捺
眉	横折,竖,横,撇,竖,横折,横,横,横
爰	撇,点,点,撇,横,横,撇,横撇,捺
昷	竖,横折,横,横,竖,横折,竖,竖,横
须	撇,撇,撇,横,撇,竖,横折,撇,点
䍃	撇,点,点,撇,撇,横,横,竖,竖折,竖
𣬉	撇,竖,横折,撇,点,横,横,竖提,撇,竖弯钩
息	撇,竖,横折,横,横,横,点,卧钩,点,点
冓	横,横,竖,竖,横,竖,横折钩,横,竖,横
家	点,点,横钩,横,撇,弯钩,撇,撇,撇,捺
疾	点,横,撇,点,提,撇,横,横,撇,捺
兼	点,撇,横,横折,横,横,竖,竖,撇,捺
悘	横,撇,横,横,撇,点,竖折,点,卧钩,点,点
累	竖,横折,横,竖,横,撇折,撇折,点,竖钩,撇,点
章	点,横,点,撇,横,竖,横折,横,横,横,竖
𠩺	横,横,竖,撇,点,撇,横,撇,捺,横,撇
常	竖,点,撇,点,横钩,竖,横折,横,竖,横折钩,竖
敕	横,竖,横折,横,竖,撇,点,撇,横,撇,捺
虖	竖,横,横钩,撇,撇,竖弯钩,撇,点,撇,横,竖钩
亶	点,横,竖,横折,竖,横折,横,横,竖,横折,横,横,横
翟	横折,点,提,横折,点,提,撇,竖,点,横,横,横,竖,横
吂	点,横,竖折,竖,横折,横
凡	撇,横斜钩,点
麽	点,横,撇,横,竖,撇,点,横,竖,撇,捺,撇,撇折,点
燕	横,竖,竖,横,竖,横折,横,竖,横,提,撇,竖弯钩,点,点,点,点
霜	横,点,横钩,竖,点,点,点,点,横,竖,撇,点,竖,横折,横,横,横
韱	撇,点,撇,点,横,竖,横,横,横,竖,横,横,横,提,斜钩,撇,点
孑	横撇,竖钩,提
孓	横撇,竖钩,捺
宀	点,点,横钩
攵	撇,横,撇,捺
耂	横,竖,横,撇
皿	竖,横折,竖,竖,横
好	撇点,撇,横,横撇,竖钩,横
丸	撇,横斜钩,点
孨	横撇,竖钩,横,横撇,竖钩,提,横撇,竖钩,横
卵	撇,竖提,点,撇,横折钩,竖,点
薛	横,竖,竖,撇,竖,横折,横,横折,横,点,横,点,撇,横,横,竖
厷	横,撇,撇折,点
石	横,撇,竖,横折,横
㠯	横折,横,竖,横折,横
𤴓	横,竖,横,撇,捺
夗	撇,横撇,点,横折钩,竖弯钩
辛	点,横,点,撇,横,横,竖
𫲸	点,点,横钩,横,横,竖,横
妟	竖,横折,横,横,撇点,撇,横
豕	横,撇,弯钩,撇,撇,撇,捺
苋	横,竖,竖,竖,横折,撇,竖弯钩
兵	撇,竖,横,竖,横,撇,点
佰	撇,竖,横,撇,竖,横折,横,横
宓	点,点,横钩,点,卧钩,点,撇,点
攴	竖,横,横撇,捺
爿	竖折,竖,横,撇
丆	横,撇
𤕻	竖折,竖,横,撇,横,横折,竖,横,竖,横折,横
丰	横,横,横,竖
身	撇,竖,横折钩,横,横,横,撇
𪧷	撇,横撇,点,横,竖钩,点
𫵖	横折,横,撇,横,横,竖钩,撇,点
夵	横,撇,捺,竖钩,撇,点
尢	横,撇,竖弯钩
𭠍	横,斜钩,撇
监	竖,竖,撇,横,点,竖,横折,竖,竖,横
毛	撇,横,横,竖弯钩
𫹍	撇,撇,竖,横,竖,横撇,捺
禹	撇,竖,横折,横,竖,横折钩,竖,提,点
徙	撇,撇,竖,竖,横,竖,横,竖,横,撇,捺
復	撇,撇,竖,撇,横,竖,横折,横,横,撇,横撇,捺
彳	撇,撇,竖
𡳾	竖折,竖,竖弯钩
风	撇,横斜钩,撇,点
巨	横,横折,横,竖折
民	横折,横,竖提,横,斜钩
厈	横,撇,横,横,竖
归	竖,撇,横折,横,横
卯	撇,竖提,撇,横折钩,竖
𠬤	横撇,点,横,横,竖
旬	撇,横折钩,竖,横折,横,横
夆	撇,横撇,捺,横,横,横,竖
犭	撇,弯钩,撇
坎	横,竖,提,撇,横钩,撇,捺
金	撇,捺,横,横,竖,点,撇,横
函	横撇,竖钩,点,提,撇,点,竖弯,竖
肴	撇,点,横,撇,竖,横折钩,横,横
威	横,撇,横,撇点,撇,横,斜钩,撇,点
要	横,竖,横折,竖,竖,横,撇点,撇,横
咢	竖,横折,横,竖,横折,横,横,横,竖折折钩
𣢟	横,竖,竖,横,横,撇,横钩,撇,捺
荣	横,竖,竖,点,横钩,横,竖,撇,捺
钦	撇,横,横,横,竖提,撇,横钩,撇,捺
高	点,横,竖,横折,横,竖,横折钩,竖,横折,横
臬	撇,竖,横折,横,横,横,横,竖,撇,捺
脊	点,提,撇,点,撇,捺,竖,横折钩,横,横
習	横折,点,提,横折,点,提,撇,竖,横折,横,横
粦	点,撇,横,竖,撇,捺,撇,横撇,点,横,撇折,竖
雋	撇,竖,点,横,横,横,竖,横,竖,横折折,竖,横折钩
颠	横,竖,竖,横折,横,横,横,横,撇,点,横,撇,竖,横折,撇,点
戲	竖,横,横钩,撇,横,竖弯钩,横,竖,横折,横,点,撇,提,横,斜钩,撇,点
魏	撇,横,竖,撇,点,撇点,撇,横,撇,竖,横折,横,横,撇,竖弯钩,撇折,点
州	点,撇,点,竖,点,竖
辶	点,横折折撇,捺
巛	撇点,撇点,撇点
㐬	点,横,撇折,点,撇,竖,竖弯钩
已	横折,横,竖弯钩
帀	撇,竖,横折钩,竖
布	横,撇,竖,横折钩,竖
穴	点,点,横钩,撇,捺
卅	横,撇,竖,竖
兑	点,撇,竖,横折,横,撇,竖弯钩
邦	横,横,横,撇,横撇弯钩,竖
国	竖,横折,横,横,竖,横,点,横
𠖇	点,横钩,竖,横折,横,横,横,撇,捺
晃	竖,横折,横,横,竖,点,撇,横,撇,竖弯钩
蒙	横,竖,竖,点,横钩,横,横,撇,弯钩,撇,撇,撇,捺
年	撇,横,横,竖,横,竖
灬	点,点,点,点
𬎾	横折,横,横,竖,横折钩,横,横,竖
臾	撇,竖,横,横折,横,横,撇,捺
郭	点,横,竖,横折,横,横撇,竖钩,提,横撇弯钩,竖
解	撇,横撇,撇,横折钩,横,横,竖,横折钩,撇,撇,横,横,竖
廴	横折折撇,捺
敝	点,撇,竖,横折钩,竖,撇,点,撇,横,撇,捺
𫠠	横,斜钩
式	横,横,竖,提,斜钩,点
𢎨	横折,横,竖折折钩,竖,撇
𠬢	竖折,竖,竖,横撇,捺
虽	竖,横折,横,竖,横折,横,竖,横,点
殳	撇,横折弯,横撇,捺
氺	竖钩,点,提,撇,点
𧰨	撇,弯钩,撇,撇,撇,捺
糸	撇折,撇折,点,竖钩,撇,点
寻	横折,横,横,横,竖钩,点
产	点,横,点,撇,横,撇
采	撇,点,点,撇,横,竖,撇,捺
景	竖,横折,横,横,点,横,竖,横折,横,竖钩,撇,点
切	横,竖提,横折钩,撇
正	横,竖,横,竖,横
走	横,竖,横,竖,横,撇,捺
㝵	竖,横折,横,横,横,横,竖钩,点
歨	竖,横,竖,横,竖,横,撇,捺
卸	撇,横,横,竖,横,竖,提,横折钩,竖
盾	撇,撇,横,竖,竖,横折,横,横,横
𢼸	竖折,竖,竖,横,撇,横折提,撇,横,撇那
𢽠	竖折,竖,竖,横,撇,横,竖,提,撇,横,撇,捺
𢛳	横,撇,竖,横折,竖,竖,横,横,点,卧钩,点,点
敫	撇,竖,横折,横,横,点,横,横折钩,撇,撇,横,撇,捺
𢾰	竖折,竖,竖,横,撇,撇折,撇折,点,竖钩,撇,点,撇,横,撇,捺
忄	点,点,竖
㣺	点,点,竖,点
公	撇,捺,撇折,点
卞	点,横,竖,点
冘	点,横钩,撇,竖弯钩
气	撇,横,横,横斜钩
刍	撇,横撇,横折,横,横
圣	横撇,捺,横,竖,横
术	横,竖,撇,捺,点
𠮦	点,撇,竖,横折,横
对	横撇,点,横,竖钩,点
巩	横,竖,提,撇,横斜钩,点
如	撇点,撇,横,竖,横折,横
血	撇,竖,横折,竖,竖,横
而	横,撇,竖,横折钩,竖,竖
动	横,横,撇折,点,横折钩,撇
军	点,横钩,横,撇折,横,竖
困	竖,横折,横,竖,撇,点,横
戒	横,横,撇,竖,斜钩,撇,点
釆	撇,点,撇,横,竖,撇,捺
邑	竖,横折,横,横折,竖,横,竖弯钩
攸	撇,竖,竖,撇,横,撇,捺
串	竖,横折,横,竖,横折,横,竖
你	撇,竖,撇,横钩,竖钩,撇,点
壳	横,竖,横,点,横钩,撇,横斜钩
县	竖,横折,横,横,横,撇折,点
坚	竖,竖,横撇,捺,横,竖,横
闵	点,竖,横折钩,点,横,撇,点
季	撇,横,竖,撇,捺,横撇,竖钩,横
罔	竖,横折钩,点,撇,横,点,横,竖折
店	点,横,撇,竖,横,竖,横折,横
参	撇折,点,横,撇,捺,撇,撇,撇
征	撇,撇,竖,横,竖,横,竖,横
贯	竖折,横折,竖,横,竖,横折,撇,点
星	竖,横折,横,横,撇,横,横,竖,横
衍	撇,撇,竖,点,点,提,横,横,竖钩
敃	横折,横,竖提,横,斜钩,撇,横,撇,捺
复	撇,横,竖,横折,横,横,撇,横撇,捺
舀	撇,点,点,撇,撇,竖,横,横折,横,横
荒	横,竖,竖,点,横,竖折,撇,竖,竖弯钩
匿	横,横,竖,竖,横,撇,竖,横折,横,竖折
造	撇,横,竖,横,竖,横折,横,点,横折折撇,捺
彗	横,横,横,竖,横,横,横,竖,横折,横,横
𪺽	横,点,撇,横,竖,撇,点,横,撇,捺,点
尉	横折,横,撇,横,横,竖钩,撇,点,横,竖钩,点
康	点,横,撇,横折,横,横,竖钩,点,提,撇,捺
敢	横撇,横,竖,竖,横,横,提,撇,横,撇,捺
楚	横,竖,撇,点,横,竖,撇,点,横钩,竖,横,撇,捺
感	横,撇,横,竖,横折,横,斜钩,撇,点,点,卧钩,点,点
董	横,竖,竖,撇,横,竖,横折,横,横,竖,横,横
楙	横,竖,撇,点,横撇,点,横钩,竖钩,撇,横,竖,撇,捺
满	点,点,提,横,竖,竖,横,竖,横折钩,撇,点,撇,点
赖	横,竖,横折,横,竖,撇,点,撇,横撇,竖,横折,撇,点
瞢	横,竖,竖,竖,横折,竖,竖,横,点,横钩,竖,横折,横,横,横
恣	点,提,撇,横钩,撇,捺,点,卧钩,点,点
赣	点,横,点,撇,横,竖,横折,横,横,横,竖,撇,横撇,捺,横,竖,横,竖,横折,撇,点
戊	横,撇,斜钩,撇,点
咠	竖,横折,横,横,竖,竖,横,横,横
癸	横撇,点,撇,撇,捺,横,横,撇,点
盈	横折折折钩,撇,横撇,点,竖,横折,竖,竖,横
晋	横,竖,竖,点,撇,横,竖,横折,横,横
斗	点,点,横,竖
戶	撇,撇,横折,横
羽	横折钩,点,提,横折钩,点,提
手	撇,横,横,竖钩
扌	横,竖钩,提
氏	撇,竖提,横,斜钩
承	横撇,竖钩,横,横,横,横撇,撇,捺
爪	撇,撇,竖,捺
𠠵	撇,横斜钩,横折钩,撇
𠬝	横折钩,竖,横撇,捺
末	横,横,竖,撇,捺
㐌	撇,横,横折钩,竖,竖弯钩
龵	撇,横,横,撇
𫠣	横,撇折,横折钩,撇,点
兰	点,撇,横,横,横
𡿪	撇点,撇点,撇点,撇,横撇,点
考	横,竖,横,撇,横,竖折折钩
曳	竖,横折,横,横,斜钩,撇
旨	撇,竖弯钩,竖,横折,横,横
穵	点,点,横钩,撇,点,横折弯钩
过	横,竖钩,点,点,横折折撇,捺
君	横折,横,横,撇,竖,横折,横
别	竖,横折,横,横折钩,撇,竖,竖钩
圼	竖,横折,横,横,横,竖,横
岛	撇,横折钩,点,竖折折钩,竖,竖折,竖
奈	横,撇,捺,横,横,竖钩,撇,点
欣	撇,撇,横,竖,撇,横撇,撇,捺
受	撇,点,点,撇,点,横钩,横撇,捺
臽	撇,横撇,撇,竖,横折,横,横,横
夜	点,横,撇,竖,撇,横撇,点,捺
罙	点,横钩,横,竖,撇,捺
制	撇,横,横,竖,横折钩,竖,竖,竖钩
匊	撇,横折钩,点,撇,横,竖,撇,捺
忝	横,横,撇,捺,竖钩,点,点,点
肩	点,横折,横,撇,竖,横折钩,横,横
虏	竖,横,横钩,撇,横,竖弯钩,横折钩,撇
郑	点,撇,横,横,撇,点,横撇弯钩,竖
柔	横撇,点,横钩,竖钩,撇,横,竖,撇,捺
臿	撇,横,撇,竖,横折,横,横,横
览	竖,竖,撇,横,点,竖,横折,撇,竖弯钩
𫥎	撇,横撇,竖,横折,横,撇,竖弯钩,点,点
阁	点,竖,横折钩,撇,横撇,捺,竖,横折,横
觉	点,点,撇,点,横钩,竖,横折,撇,竖弯钩
虒	撇,撇,竖横,横钩,撇,横,竖弯钩,撇,横斜钩
畜	点,横,撇折,撇折,点,竖,横折,横,竖,横
蚤	横撇,捺,点,竖,横折,横,竖,横,点
弱	横折,横,竖折折钩,点,提,横折,横,竖折折钩,点,提
般	撇,撇,横折钩,点,横,点,撇,横折弯,横撇,捺
隽	撇,竖,点,横,横,横,竖,横,横折折折钩,撇
茶	横,竖,竖,撇,捺,横,竖钩,撇,点
虑	竖,横,横钩,撇,横,竖弯钩,点,卧钩,点,点
罢	竖,横折,竖,竖,横,横,竖,横,撇折,点
舂	横,横,横,撇,捺,撇,竖,横,横折,横,横
屏	横折,横,撇,点,撇,横,横,撇,竖
率	点,横,撇折,撇折,点,点,提,撇,点,横,竖
离	点,横,撇,点,竖折,竖,竖,横折钩,撇折,点
庶	点,横,撇,横,竖,竖,横,点,点,点,点
雩	横,点,横钩,竖,点,点,点,点,横,横,竖折折钩
畧	竖,横折,横,竖,横,撇,横撇,捺,竖,横折,横
掌	竖,点,撇,点,横钩,竖,横折,横,撇,横,横,竖钩
散	横,竖,竖,横,竖,横折钩,横,横,撇,横,撇,捺
毳	撇,横,横,竖弯钩,撇,横,横,竖提,撇,横,横,竖弯钩
辇	横,横,撇,点,横,横,撇,捺,横,撇折,横,竖
颉	横,竖,横,竖,横折,横,横,撇,竖,横折,撇,点
窜	点,点,横钩,撇,点,竖,横折,横,竖,横折,横,竖
幹	横,竖,竖,横折,横,横,横,竖,撇,捺,横,横,竖
雷	横,点,横钩,竖,点,点,点,点,竖,横折,横,竖,横
数	点,撇,横,竖,撇,点,撇点,撇,横,撇,横,撇,捺
適	点,横,点,撇,竖,横折钩,横,竖,竖,横折,横,点,横折折撇,捺
樊	横,竖,撇,点,撇,点,撇,点,横,竖,撇,点,横,撇,捺
赞	撇,横,竖,横,撇,竖提,撇,横,竖,横,撇,竖弯钩,竖,横折,撇,点
纂	撇,横,点,撇,横,点,竖,横折,横,横,横,横,撇,捺,撇折,撇折,点,竖钩,撇,点
矍	竖,横折,横,横,横,竖,横折,横,横,横,撇,竖,点,横,横,横,竖,横,横撇,捺
𫠤	横,横竖,横,横折钩,撇
㡀	点,撇,竖,横折钩,竖,撇,点
学	点,点,撇,点,横钩,横撇,竖钩,横
苟	横,竖,竖,撇,横折钩,竖,横折,横
旉	横,竖,横折,横,横,竖,点,点,横折钩,撇
武	横,横,竖,横,竖,提,斜钩,点
阑	点,竖,横折钩,横,竖,横折,点,撇,横,竖,撇,点
丅	横,竖
亲	点,横,点,撇,横,横,竖钩,撇,点
蜀	竖,横折,竖,竖,横,撇,横折钩,竖,横折,横,竖,横,点
仒	撇,捺,点,点
巿	横,竖,横折钩,竖
𭻾	撇,横,横钩,竖,横,撇,捺
遂	点,撇,横,撇,弯钩,撇,撇,撇,点,点,横折折撇,捺
旡	横,竖折,撇,竖弯钩
仄	横,撇,撇,捺
升	撇,横,撇,竖
㐱	撇,捺,撇,撇,撇
弁	撇折,点,横,撇,竖
丙	横,竖,横折钩,撇,点
含	撇,捺,点,横撇,竖,横折,横
典	竖,横折,横,竖,竖,横,撇,点
並	点,撇,横,竖,竖,点,撇,横
析	横,竖,撇,点,撇,撇,横,竖
昍	竖,横折,横,横,竖,横折,横,横
咎	撇,横撇,捺,竖,点,竖,横折,横
知	撇,横,横,撇,点,竖,横折,横
恒	点,点,竖,横,竖,横折,横,横,横
柬	横,竖,横折,点,撇,横,竖,撇,捺
冥	点,横钩,竖,横折,横,横,点,横,撇,点
㳟	横,竖,竖,横,撇,捺,竖钩,点,提,撇,点
旋	点,横,横折钩,撇,撇,横,横钩,竖,横,撇,捺
明	竖,横折,横,横,撇,横折钩,横,横
署	竖,横折,竖,竖,横,横,竖,横,撇,竖,横折,横,横
熏	撇,横,竖,横折,点,撇,横,竖,横,横,点,点,点,点
暴	竖,横折,横,横,横,竖,竖,横,撇,捺,竖钩,点,提,撇,点
羲	点,撇,横,横,竖,横,撇,横,竖,撇,点,横,竖折折钩,斜钩,撇,点
曰	竖,横折,横,横
曲	竖,横折,横,竖,竖,横
匃	撇,横折钩,撇,点,竖折
罒	竖,横折,竖,竖,横
𭥴	竖,横折,竖,点,撇,横,竖,横折,横,横
㚘	横,横,撇,点,横,横,撇,捺
屰	点,撇,横,竖折,竖,撇
关	点,撇,横,横,撇,捺
叉	横撇,捺,点
勾	撇,横折钩,撇折,点
兮	撇,捺,横,竖折折钩
号	竖,横折,横,横,竖折折钩
㲺	点,点,提,横,竖弯钩
氿	点,点,提,横斜钩,撇
矛	横撇,点,横钩,竖钩,撇
匛	横,撇,横撇,点,竖折
市	点,横,竖,横折钩,竖
卮	撇,撇,横,横折钩,竖弯钩
节	横,竖,竖,横折钩,竖
覀	横,竖,横折,竖,竖,横
舛	撇,横撇,点,横,撇折,竖
行	撇,撇,竖,横,横,竖钩
𠔉	撇,点,横,横,撇,捺
杲	竖,横折,横,横,横,竖,撇,捺
庄	点,横,撇,横,竖,横
氵	点,点,提
刅	横折钩,撇,点,点
岑	竖,竖折,竖,撇,捺,点,横撇
志	横,竖,横,点,卧钩,点,点
连	横,撇折,横,竖,点,横折折撇,捺
灵	横折,横,横,点,撇,撇,捺
帛	撇,竖,横折,横,横,竖,横折钩,竖
𢼄	点,横折,横,撇,撇,横,撇,捺
芬	横,竖,竖,撇,捺,横折钩,撇
卖	横,竖,横钩,点,点,横,撇,点
施	点,横,横折钩,撇,撇,横,横折钩,竖,竖弯钩
疋	横钩,竖,横,撇,捺
便	撇,竖,横,竖,横折,横,横,撇,捺
闾	点,竖,横折钩,竖,横折,横,竖,横折,横
举	点,点,撇,横,撇,捺,横,横,竖
屑	横折,横,撇,竖,点,撇,竖,横折钩,横,横
容	点,点,横钩,撇,点,撇,捺,竖,横折,横
匪	横,竖,横,横,横,竖,横,横,横,竖折
窄	点,点,横钩,撇,点,撇,横,竖,横,横
隼	撇,竖,点,横,横,横,竖,横,横,竖
射	撇,竖,横折钩,横,横,横,撇,横,竖钩,点
衰	点,横,竖,横折,横,横,撇,竖提,撇,捺
留	撇,竖提,点,横折钩,撇,竖,横折,横,竖,横
追	撇,竖,横折,横,横折,横,点,横折折撇,捺
贾	横,竖,横折,竖,竖,横,竖,横折,撇,点
酉	横,竖,横折,撇,竖弯,横,横
斛	撇,横撇,撇,横折钩,横,横,竖,点,点,横,竖
棥	横,竖,撇,点,撇,点,撇,点,横,竖,撇,捺
黄	横,竖,竖,横,竖,横折,横,竖,横,撇,点
越	横,竖,横,竖,横,撇,捺,横,竖提,斜钩,撇,点
䂞	横,撇,竖,横折,横,横,竖,撇,捺
矞	横撇,点,横折,竖钩,撇,竖,横折钩,撇,点,竖,横折,横
惠	横,竖,横折,横,横,竖,横,点,点,卧钩,点,点
猪	撇,弯钩,撇,横,竖,横,撇,竖,横折,横,横
厨	横,撇,横,竖,横折,横,点,撇,提,横,竖钩,点
缘	撇折,撇折,提,撇折,横撇,横,撇,弯钩,撇,撇,撇,捺
魁	撇,竖,横折,横,横,撇,竖弯钩,撇折,点,点,点,横,竖
薄	横,竖,竖,点,点,提,横,竖,横折,横,横,竖,点,横,竖钩,点
哥	横,竖,横折,横,竖,横,竖,横折,横,竖钩
